key,en [English],sw [Swahili],ha [Hausa],yo [Yoruba],fr [French],ar [Arabic]
collection.button.description,Record a payment received towards a debt or an advance,Rekodi malipo yaliyopokelewa kuelekea deni au mapema,Shigar da kudin da da aka biya na bashi ko biyan na gamba,,,
collection.header.title,Record Collection,Ukusanyaji wa rekodi,A shigar da karba,,,
collection.header.description,Quickly record a transaction or obligation,Rekodi haraka shughuli au wajibu,Da sauri ka shigar da cinikayya ko yar jejeniya,,,
collection.fields.amount.label,Enter Amount,Ingiza kiasi,shigar da adadin kudi,,,
collection.fields.note.label,Note,Kumbuko,Saqo,,,
collection.fields.note.placeholder,Write a note,Andika kumbuko,Rubuta saqo,,,
collection.today_text,Today,Leo,Yau,,,
collection.write_a_note_text,Write a note,Andika barua,Rubuta saqo,,,
collection.select_a_photo_text,Select a photo,Chagua picha,Zabi Hoto,,,
collection.transaction_date_text,What date did this happen?,Hii ilitokea tarehe gany,Yaushe hakan tafaru?,,,
collection.coming_soon_select_a_photo,Coming Soon: Select a Photo,Ijayo chagua picha,Yananan tafe: zabi hoto,,,
sale.sale_recorded,SALE RECORDED,Uuzaji ulirekodiwa,Rekod din sayarwa,,,
sale.button.title,Record Sale,Rekodi ya kuuza,shigar da ciniki,,,
sale.button.description,Create a sale record - what you were paid and what will be paid later,Unda rekodi ya uuzaji kile kilicholipwa na nini kitalipwa baadaye,Saitin ciniki- Abin da aka biyaka yanzu a wanda za a biyaka nan gaba,,,
sale.header.title,Record Sale,Rekodi ya kuuza,shigar da ciniki,,,
sale.header.description,Quickly record a collection or outstanding,Rekodi haraka mkusanyiko au bora,cikin sauri ka shigar da karba ko bashi,,,
sale.fields.amount.label,Collected,Zilizokusanywa,An karba,,,
sale.fields.credit.label,Outstanding,Isiyolipwa,Bashi,,,
sale.fields.note.label,Note,Kiandiko,Saqo,,,
sale.fields.note.placeholder,Write a note,Andika kiandiko,Rubuta saqo,,,
sale.select_customer.title,Select Customer,Chagua mteja,zabi kwastoma,,,
sale.select_customer.description,Which customer is this transaction for?,Mteja yupi ni manunuzi ya,wanna kwastoma ka zaba,,,
sale.no_customer_text,Select a customer to complete this transaction,Chagua mteja ili kukamilisha shughuli hii,zabi kwastoma domin kammala cinikayya,,,
sale.due_date_is_past,Select a new collection date for {{customer}}.,,zabi sabon lokacin karba daga {{customer}},,,
entry.sale,Record Sale,Rekodi ya kuuza,shigar da ciniki,,,
entry.collection,Record Collection,Ukusanyaji wa rekodi,shigar da karba,,,
other,Other,Nyingine,Wasu,,,
collected,Collected,Zilizokusanywa,An karba,,,
collection_due_today,Collection due today,Ukusanyaji unaostahili leo,Ranar karba,,,
outstanding,Outstanding,Isiyolipwa,Bashi,,,
clear,Clear,Wazi,Goge,,,
cancel,Cancel,Futa,An fasa,,,
scan,Scan,Skana,Duba,,,
scanning,Scanning,Skana,Dubawa,,,
done,Done,Kumaliza,An gama,,,
dismiss,Dismiss,Ondosha,Fasawa,,,
owe.one,owe,Deni,Bashi,,,
owe.other,owes,Deni,Yana bin,,,
result.zero,No results found,Hakuna matokeo yaliyopatikana,Ba sakamako,,,
result.one,1 Result,Tokeo 1,Sako daya,,,
result.other,{{count}} Results,{{count}} Matokeo,{{sakamako}},,,
clear_filter,Clear filter,Chujio wazi,Goge Matata,,,
note.one,Note,Kiandikio,Sako,,,
note.other,Notes,Maelezeo,Sakuna,,,
delete,Delete,Futa,Gogewa,,,
edit,Edit,Hariri,Gyara,,,
add,Add,Ongeza,Sanyawa,,,
close,Close,Funga,Rufewa,,,
enable,Enable,Wezesha,Kunnawa,,,
unknown,UNKNOWN,Haijulikani,bakomai,,,
share,Share,Gawa,Turawa,,,
balance,Balance,Baki,balans,,,
paid,Paid,Kulipwa,An biya,,,
save,Save,Hifadhi,Adanawa,,,
from,From,Kutoka,Daga,,,
to,To,Kwenye,Zuwa,,,
success,Success,Mafanikio,Yayi,,,
start_date,Start Date,Tarehe ya kuanza,Lokacin da aka fara,,,
end_date,End Date,Tarehe ya mwisho,Lokacin da aka gama,,,
and,and,Na,Da,,,
optional,Optional,Hiari,Zabi,,,
warning,Warning,Onyo,Jankunne,,,
date,Date,Tarehe,Kwanan wata,,,
yes,Yes,Ndio,Eh,,,
total,Total,Jumla,Jimla,,,
yes_delete,"Yes, Delete",Ndio futa,"Eh, goge",,,
yes_proceed,"Yes, Proceed",Ndio endelea,"Eh, cigaba",,,
no,No,Hapana,A'a,,,
all,All,Yote,Duka,,,
no_result_found,No result found,Hakuna matokeo yaliyopatikana,Ba a samu sakamakoba,,,
remove,Remove,Ondoa,Cirewa,,,
tel,Tel,Simu,lamba,,,
select_from_phonebook,Select from Phonebook,Chagua kutoka kwa kitabu cha simu,zabi daga phone book,,,
whatsapp,whatsapp,Whatsapp,whatsapp,,,
sms,sms,Ujumbe,Saqonni,,,
confirm,Confirm,Thibitisha,Tabbatarwa,,,
address,Address,Anwani,Adireshi,,,
price,Price,Bei,farashi,,,
filter.one,Filter,Vichungi,Matata,,,
filter.other,Filters,Deni,Matata,,,
filter_options.owing,You owe,Wewe deni,Ana binku,,,
filter_options.not_owing,Owes you,Deni Wewe,kuna bin,,,
filter_options.surplus,Paid in full,Imelipwa ndani kamili,Anbiya gaba daya,,,
customer.one,Customer,Mteja,kwastomer,,,
customer.other,Customers,Wateja,kwastomomi,,,
client.one,Client,Mteja,abokin ciniki,,,
client.other,Clients,Wateja,abokan ciniki,,,
customers.start_adding,Start adding clients by creating a record with the '+' button below,Anza kuongeza wateja kwa kuunda rekodi na kitufe cha '+' hapa chini,fara sanya abokan cinki ta hanyar shigar da bayanai da '+' madanni na kasa,,,
customers.customer_count.zero,You have no clients yet.,Bado hauna wateja,baka da abokin ciniki,,,
customers.customer_count.one,1 Client,Mteja,abokin ciniki 1,,,
customers.customer_count.other,{{count}} Clients,{{count}} wanunuzi,{{count}} Abokin aiki,,,
customers.customer_edited,CUSTOMER EDITED,KUHARIRIWA,An gyara kwastoma,,,
customers.customer_deleted,CUSTOMER DELETED,Mteja AMEFUTWA,An  goge kwastoma,,,
customers.confirm_delete,Are you sure you want to delete {{customer_name}} as a customer?,Una hakika unataka kufuta {{customer_name}} kuwa mteja,Kun tabbata zaku goge {{customer_name}} a matsayin kwastoma?,,,
customers.delete_customer,Delete Customer,Futa mteja,Goge kwastoma,,,
customers.customer_profile,Customer Profile,Wasifu wa mteja,Bayanan kwastoma,,,
customers.fields.phone.label,Phone number,Nambari ya simu,Lambar waya,,,
customers.fields.phone.placeholder,Enter customer number,Ingiza nambari ya simu ya mteja,Kusanya lambar kwastoma,,,
customers.fields.notes.label,Notes,Kiandiko,Sako,,,
customers.fields.notes.placeholder,Additional information about the customer,Maelezo ya ziadi kuhusu mteja,Karin bayanai akan kwastoma,,,
customers.select_customer.title,Select Customer,Chagua Mteja,Zabi kwastoma,,,
customers.select_customer.description,Which customer is this transaction for?,Shughuli hii ni ya mteja gani,Da wanna kwastoma akayi wannan cinikin?,,,
customers.add_as_new_customer,Add {{customer_name}} as new customer,ongeza {{customer_name}} kama mteja mpya,kara {{customer_name}} a sabon kwastoma,,,
customers.add_customer,Add Customer,Ongeza mteja,Kara kwastoma,,,
customers.add_customer_details,Add Customer details,Ongeza maelezo kuhusu mteja,Kara cikakkun bayanan kwastoma,,,
customers.add_new_customer_text,Add New Customer,Ongeza mteja mpya,kara sabon kwastoma,,,
customers.search_input_placeholder,Type customer name,Andika jina la mteja,Rubuta Sunan kwastoma,,,
customers.manual_customer_modal.fields.name.label,Customer name,Jina la mteja,Sunan kwastoma,,,
customers.manual_customer_modal.fields.email.label,Customer email (Optional),Barua pepe ya mteja (Hiari),adireshin yanar gizo (idan akwai),,,
customers.manual_customer_modal.fields.phone.label,Customer phone number (Optional),Nambari ya simu ya mteja (Hiari),lambar wayar kwastoma (idan akwai),,,
customers.manual_customer_modal.fields.phone.placeholder,Enter customer number,Bonyeza nambari ya mteja,Sanya lambar kwastoma,,,
payment.edit_payment_preview_label_modal.title,Payment preview label,Lebo ya hakikisho la malipo,Duba Matakin biya,,,
payment.edit_payment_preview_label_modal.description,The payment preview label will be. You can change it to a text that your customers will understand,Lebo ya njia ya hakikisho la malipo itakuwa.Unaweza kuibadilisha kwa maandishi ambayo wateja wako  wataelewa,Yadda zaku duba matakan biyan zai kasance. zaku iya chanjashi zuwa yaran da kwastomanku zai gane,,,
payment.edit_payment_preview_label_modal.payment_label_updated,Payment Label updated,Lebo ya malipo imesasishwa,An sabunta matakin biya,,,
payment.edit_payment_preview_label_modal.validation_message,Payment label cannot be more than 150 characters long,Lebo ya malipo haiwezi kuwa zaidi ya herufi 150,Tsayin matakin biyan bazai wuce harufa 150 ba,,,
payment.edit_payment_preview_label_modal.you_can_pay_me_via,You can pay me via,Unaweza kunilipa kupitia,Zaku iya biyana ta,,,
payment.payment_container.payment_added,PAYMENT OPTION ADDED,NJIA YA MALIPO IMEONGEZEWA,AN SANYA ZABIN YANAYIN BIYA,,,
payment.payment_container.warning_message,Please fill all the fields in the form,Tafadhali jaza sehemu zote katika fomu,Adaure acike ko wanna gida na fom,,,
payment.payment_container.payment_edited,PAYMENT OPTION EDITED,CHAGUO LA MALIPO LIMEBADILISHWA,AN GYARA YANAYIN ZABIN BIYA,,,
payment.payment_container.add_payment_info,add Payment info,Ongeza maelezo ya malipo,Kara bayanan biya,,,
payment.payment_container.edit_payment_info,edit Payment info,Hariri maelezo ya malipo,Gyaran bayanan biya,,,
payment.payment_container.remove_message,Are you sure you want to remove the payment option?,Unahakika unataka kuondoa chaguo la malipo,Kun tabbata kuna son cire zabin yanayin Tsarin biya?,,,
payment.payment_container.payment_settings,Payment Settings,Mipangilio ya malipo,Saitin Tsarin biya,,,
payment.payment_container.no_payment_option.description,Add your preferred methods of collecting payment so your customers can know how to pay you,Ongeza  njia unayopendelea ya kukisanya malipo ili wateja wako waweze kujua jinsi ya kukulipa,Sanya Tsarin da kukeso Kwastomanku su biyaku,,,
payment.payment_container.copy_payment_link,COPY LINK,NA NAKALA YA KIUNGO,kofar link,,,
payment.payment_container.preview_payment_page,Preview Payment Page,Hakikisho ukurasa wa malipo,Duban fejin Tsarin biya,,,
payment.payment_container.add_new_payment,Add New Payment,Ongeza malipo mapya,Karin Biya,,,
payment.payment_container.add_new_payment_method,Add New Payment,Ongeza malipo mapya,Karin Biya,,,
payment.payment_container.others_placeholder_text,"Enter the full information on how you want to get paid. It can contain, account number, name of bank, mobile money information, etc.",,"Sanya cikaken bayani akan yadda kukeso a biyaku.zai iya daukan lambar account,sunan banki, bayanan manhajar kudinku. da dai suaransu.",,,
payment.payment_form.label,Select a payment method,Chagua njia ya malipo,Zabi tsarin biya,,,
payment.copied,copied,Kunakiliwa,An kofa,,,
payment.copy,copy,Nakala,Kofa,,,
payment.payment_preview_modal.heading,Your Payment Page Preview,Hakikisho la ukurasa wako wa malipo,Kalli fejin Tsarin biyanka,,,
payment.payment_preview_modal.footer.title,Powered by Shara Inc © 2021,Inaendeshwa na Shara Inc © 2021,Daga Shara Inc © 2021,,,
payment.payment_preview_modal.footer.website_url,www.shara.co,www.shara.co,www.shara.co,,,
payment.bvn_input_field_placeholder,Enter your BVN,Ingiza BVN yako,Sanya BVN,,,
payment.withdrawal_method.bvn_description,Please enter your National ID/BVN number. Your ID should match the names and the payment method in your Settings,Tafadhali ingiza nambari yako ya Kitambulisho / BVN. Kitambulisho chako kinapaswa kulinganisha majina na njia ya kulipa katika Mipangilio yako,Da fatan za a shigar da lambar ID / BVN ta ƙasa. ID ɗinku ya dace da sunaye da hanyar biyan kuɗi a cikin Saitunanku,,,
payment.withdrawal_method.bvn_input_field_placeholder,Enter your BVN,Ingiza BVN yako,Sanya BVN,,,
payment.withdrawal_method.otp_description,An OTP has been sent to your BVN number *******4343,OTP imetumwa kwa nambari yako ya BVN *******4343,Antura OTP zuwa BVN dinku number *******4343,,,
payment.withdrawal_method.id_description,Please enter your {{idType}}. Your ID should match the names and the payment method in your Settings,Tafadhali ingiza {{idType}} yako. Kitambulisho chako kinapaswa kulinganisha majina na njia ya kulipa katika Mipangilio yako,Da fatan za a shigar da {{idType}} ɗinku. ID ɗinku ya dace da sunaye da hanyar biyan kuɗi a cikin Saitunanku,,,
payment.withdrawal_method.id_input_field_placeholder,Enter your {{idType}},Ingiza {{idType}} yako,Shigar da {{idType}},,,
payment.withdrawal_method.id_otp_description,An OTP has been sent to your {{idType}} number {{mobile}},Ingiza {{idType}} yako ya OTP imetumwa kwa {{idType}} nambari yako {{mobile}},Antura OTP zuwa {{idType}}  lambar {{mobile}},,,
payment.withdrawal_method.add_withdrawal_method,Add Withdrawal Method,Ongeza Njia ya Kuondoa,Sanya tsarin Cirar kudi,,,
payment.withdrawal_method.withdrawal_method_list,These are your preferred methods of collecting payment so your customers can know how to pay you. See your link below:,Hizi ni njia unazopendelea za kukusanya malipo ili wateja wako waweze kujua jinsi ya kukulipa. Tazama kiunga chako hapo chini:,Wannan shine tsarin da kuka zaba na biyanku saboda kwastomanku su sani,,,
payment.withdrawal_method.edit_withdrawal_method,Edit Withdrawal Method,Hariri Njia ya Kuondoa,Gyaran tsarin cirar kudi,,,
payment.withdrawal_method.withdrawal_method_description,Add your preferred methods of withdrawing funds from Shara.,Ongeza njia unazopendelea za kuchukua pesa kutoka Shara.,Sanya Tsarin da kukeso nacirar kudi dga shara,,,
payment.withdrawal_method.make_default_withdrawal,Make default withdrawal account,Fanya akaunti chaguo-msingi ya kujiondoa,samar da Akawun din da zakuke cirar kudi,,,
payment.withdrawal_method.withdrawal_picker_placeholder,Select a withdrawal method,Chagua njia ya kujiondoa,Zabi tsarin cirar kudi,,,
payment.withdrawal_method.select_an_option,Select an option,Chagua chaguo,Zabi daya,,,
more.header.title,My Account,Akaunti yangu,Akawun dina,,,
more.header.description,You account information at a glance,Habari ya akaunti yako kwa mtazamo,Bayanan akawun dinku,,,
more.list.profile_settings.title,My Profile,Maelezo mafupi yangu,Bayanaina,,,
more.list.profile_settings.description,View and edit your personal information,Tazama na uhariri habari yako ya kibinafsi,Dubawa da gyaran Bayanai na na sirri,,,
more.list.business_settings.title,Business Settings,Mipangilio ya biashara,Saitin cinikayya,,,
more.list.business_settings.description,View and edit your business information,Tazama na uhariri habari ya biashara yako,Dubawa da Gyaran bayanan cinikayyar ku,,,
more.list.payment_settings.title,Payment Settings,Mipangilio ya malipo,Saitin Tsarin biya,,,
more.list.payment_settings.description,View and edit your payment information,Tazama na uhariri maelezo yako ya malipo,Dubawa da gyaran bayanan tsarin biyan ku,,,
more.list.referral.title,Referral,Rufaa,Referral,,,
more.list.referral.description,Enter referral code,Ingiza nambari ya rufaa,Sanya lambar Referral,,,
more.list.feedback.title,Give Feedback,Toa maoni,Bamu amsarku,,,
more.list.feedback.description,Provide any feedback here?,Toa maoni yoyote hapa,Sanya duk wata amsa anan,,,
more.list.language.title,Language,Lugha,Yare,,,
more.list.language.description,Select your language,Chagua Lugha yako,Zabi Yare,,,
more.logout.logout_data_verification_text,Verifying your saved data...,Kuhakikisha data yako iliyohifadhiwa,Tabbatarwa da Adanin bayananku,,,
more.logout.logout_confirmation_text,Are you sure you want to logout?,Una uhakika unataka kutoka,Kun tabbata kuna san fita?,,,
more.logout.logout_unsaved_data_text,You still have some unsaved data. Are you sure you want to logout?,Bado unayo data ambayo haijahifadhiwa.Una hakika unataka kutoka,Haryanzu akwai bayanan da basu adanu ba. Kun tabbata kuna son fita?,,,
more.business_settings_edit_button,Tap here to complete your Business Settings,Gonga hapa ili ukamilishe mipangilio yako ya biashara,Danna nan domin kammala saitin cinikayyarku,,,
more.logout_button,Logout,Toka nje,fita,,,
more.yes,Yes,Ndio,Eh,,,
more.no,No,Apana,A'a,,,
profile_settings.title,Profile Settings,Mipangilio ya wasifu,Saitin bayanai,,,
profile_settings.toast_text,User profile updated successfully,Wasifu wa mtumiaji imesasishwa kwa mafanikio,An sabunta bayananka cikin nasara,,,
profile_settings.fields.firstName.label,First Name,Jina la kwanza,Suna,,,
profile_settings.fields.lastName.label,Last Name,Jina la mwisho ama familia,Sunan Mahaifi,,,
profile_settings.fields.mobile.label,What’s your phone number?,Namba yako ya simu ni ipi,Mene lambar wayarku ?,,,
profile_settings.fields.email.label,What's your email? (Optional),Barua pepe yako ni ipi (chaguo),Adreshin yanar gizo (idan akwai),,,
profile_settings.save_button,Save,Hifadhi,Adanawa,,,
business_settings.title,Business Settings,Mipangilio ya biashara,Saitin cinikayya,,,
business_settings.toast_text,User profile updated successfully,Wasigu wa mtumiaji umesasishwa kwa mafanikio,Anyi nasarar sabunta bayanan ku,,,
business_settings.fields.name.label,What’s the name of your business?,Jina la biashara yako ni lipi?,Mene sunan masana'antar ku?,,,
business_settings.fields.address.label,Where is your business located?,Biashara yako iko wapi,Aina Masana'antar take?,,,
business_settings.fields.mobile.label,What’s your business phone number?,Namba ya biashara yako ni ipi,Mene lambar wayarku Masana'antar ?,,,
business_settings.fields.image.label,Do you have a logo?,Una nembo,kuna da bajo ?,,,
business_settings.fields.image.placeholder,Upload logo,Pakia nembo,Sanya bajo,,,
business_settings.action_buttons.preview_receipt_button,Preview Receipt,Hakikisho risiti,Duba samfir na rasif,,,
business_settings.action_buttons.save_button,Save,Hifadhi,Adanawa,,,
business_settings.receipt_preview.title,Receipt,Risiti,Rasif,,,
business_settings.receipt_preview.saved,Saved,Imehifadhiwa,An adana,,,
business_settings.receipt_preview.description,Here’s what your receipt looks like,Hapa risiti yako inaonekaje,Duba yadda rasif dinka zai kasance,,,
referral.title,Referral,Rufaa,Referral,,,
referral.toast_text,Referral code submitted,Nambari ya rufaa imewasilishwa,An tura lambar referral dinka,,,
referral.fields.code.label,Referral Code,Nambari ya rufaa,lambar referral,,,
referral.fields.code.placeholder,Enter referral code here,Ingiza nambari ya rufaa hapa,Sanya lambar Referral,,,
referral.submit_button,Submit,Wasilisha,Tura,,,
feedback.title,Feedback,Maoni,Amsa,,,
feedback.toast_text,Thank you for your Feedback,Asante kwa maoni yako,Mungode da amsar ku,,,
feedback.fields.code.label,Feedback,Maoni,Amsa,,,
feedback.fields.code.placeholder,Enter feedback here,Ingiza maoni hapa,Sanya amsa anan,,,
feedback.submit_button,Submit,Wasilisha,Tura,,,
create_receipts_with_shara,CREATE RECEIPTS FOR FREE WITH SHARA,Tengeneza ripoti za bure na Shara,Hada rasif na kyeuta da shara,,,
report.title,View Report,Tazama ripoti,Duba rasif,,,
report.filter_button_text,Filters,Vichungi,Matata,,,
report.search_input_placeholder,Search customers here,Tafuta wateja hapa,Nemo kwastoma anan,,,
report.active_filter_label_text,Filter,Chuja,Matata,,,
report.clear_filter_button_text,Clear,Safisha,sharewa,,,
report.net_balance_text,Net Balance,Matokeo,Balans na daidai,,,
report.download_report_toast_text,Download Report,Ripoti ya kupakua,Sauke rahoto,,,
report.results.one,Result,matokeo,rahoto,,,
report.results.other,Results,Matokeo,rahotanni,,,
report.download_report_button_text,Download Report,Repoti ya kupakua,Sauke rahoto,,,
report.empty_state_text.no_results_found,No results found,Hakuna matokeo yaliyopatikana,Ba rahoto,,,
report.empty_state_text.no_records_yet,You have no records yet,Bado hauna rekodi,Haryanzu baku da bayanai,,,
report.report_list_header.transactions_text,Transactions,Shughuli,cinikayya,,,
report.report_list_header.total_entries_text,Entries,Viingilio,Abubuwan da aka shigar,,,
report.report_list_header.total_cost_text,Total Cost,Jumla ya gharama,jimlar farashi,,,
report.report_list_header.amount_paid_text,Amount Paid,Kiasi kilocholipwa,Farashin da aka biya,,,
report.excel_report_headings.date,Date,Tarehe,Kwanan wata,,,
report.excel_report_headings.name,Name,Jina,Suna,,,
report.excel_report_headings.note,Note,Kiandikio,Sako,,,
report.excel_report_headings.total_amount,Total Amount,Jumla,Jimlar farashi,,,
report.excel_report_headings.amount_paid,Amount Paid,Kiasi kilicholipwa,Farashin da aka biya,,,
report.excel_report_headings.balance,Balance,Usawa au msawazo,balans,,,
report.downloaded_report_notification_title,Report exported successfully,Ripoti iliyouzwa nje kwa mafanikio,Rahoto yafito cikin nasara,,,
bluetooth_printer.setup.title,bluetooth settings,Mipangilio ya bluetooth,Saitin bluetooth,,,
bluetooth_printer.setup.description,Enable the bluetooth on you device to start printing.,Wezesha bluetooth kwenye kifaa chako kuanza kuchapisha,Kunna bluetooth na Na'urarku domin fara yin firintin,,,
bluetooth_printer.select_printer,Select printer,Chagua printa,Zabi firinta,,,
bluetooth_printer.no_nearby_bluetooth,No nearby Bluetooth devices were found,Hakuna kifaa cha karibu cha bluetooth kilichopatikana,Ba a samu bluetooth a kusaba,,,
bluetooth_printer.device_not_supported,Device does not support bluetooth!,Kifaa hakisaidii bluetooth,Nawura ta gaza daukar bluetooth,,,
bluetooth_printer.search_for_devices,Search for devices,Tafuta vifaa,Nemo na'ura,,,
reminder_popup.title,Which days do you want your reminders to be sent,Ni siku zipi unataka vikumbusho vyako vitumwe,Wacca rana kukeso atura tunatarwa,,,
reminder_popup.collection_day.one,1 day before,Siku 1 kabla,kwana daya kafin,,,
reminder_popup.collection_day.other,{{count}} days before,Siku {{count}} kabla,kwanaki {{count}} kafin,,,
reminder_popup.collect_on_text,Collect on {{due_date}},Kusanya {{due_date}},karba ranar {{due_date}},,,
reminder_popup.no_collection_date_text,You need to set a collection date before you set reminders,Unahitaji kuweka tarehe ya kukusanya kabla ya kuweka vikumbusho,Saita ranar karba kafin ka iya saita tunatarwa,,,
reminder_popup.set_collection_date_button_text,Set Collection Date,Weka tarehe ya kukusanya,Saita ranar karba,,,
reminder_popup.default_collection_day,Collection Day (Default),Siku ya Ukusanyaji (Chaguo Msingi),Ranar karba (ta ainihi),,,
reminder_popup.no_collection_day,None (No reminder will be sent),Hakuna (Hakuna kikumbusho kitatumwa),Banason a tura tunaarwa,,,
default_text,Default,Chagua msingi ama Puuza,Ainihi,,,
payment_method,Payment method,Njia ya malipo,Tsarin biya,,,
save_to_phonebook,Save to Phonebook,Hifadhi kwa kitabu cha simu,Adana a cikin waya,,,
user_profile,User Profile,Wasifu wa mtumiaji,Bayanan Mai amfani,,,
my_customers,My Customers,Wateja wangu,kwastomana,,,
reports,Reports,Ripoti,Rahoto,,,
menu,Menu,Orodha,Menu,,,
user_id,User ID,Kitambulisho cha mtumiaji,Shaidar mai anfani,,,
payment_reminder_for,Payment reminder for,Ukumbusho kwa malipo kwa,Tunatarwa na tsarin biya na,,,
payment_due,Payment Due,Malipo yanastahili,Ranar biya,,,
payment_due_text,This payment is due on,Malipo yanastahili kuanza,Za ayi wannan biyan ranar,,,
outstanding_text,has an outstanding of,Ina bora ya,Akwai bashin,,,
record,Record,Rekodi,Bayani,,,
cancel_confirmation_text,Confirm cancellation,Thibitisha kufuta,Tabbatar da fasawa,,,
cancellation_text,Why are you cancelling?,Kwanini inaghairi?,Mesa aka fasa,,,
cancellation_placeholder,Enter cancellation reason here,Ingiza hesabu ya kufuta hapa,Rubuta dalilin fasawa anan,,,
upload_business_logo,Upload Business logo,Pakia nembo ya biashara,Sanya bajon Sana'a,,,
business_name,Business Name,Jina la biashara,Sunan Sana'a,,,
skip_setup,Skip setup,Ruka mpangilio,Tsallake saiti,,,
product_details,Product Details,chombo kinakaaje,Cikakkyan bayanin kayan sayarwa,,,
search_input_placeholder,Search clients here,Tafuta wateja hapa,Nemo abokin ciniki anan,,,
country,Country,Nchi,Kasa,,,
in,in,ndani,ciki,,,
money,Money,Pesa,Kudi,,,
payment_activities.empty_state.description,Receive and withdraw money using your Shara wallet. Click the button below to get started.,Pokea na toa pesa kwa kutumia mkoba wako wa Shara. Bonyeza kitufe hapa chini ili kuanza.,A turo kudi kuma a cire kudi ta cikin shara walet. Dannan madanni na kasa domin farawa,,,
payment_activities.empty_state.tag,Go to Money Settings,Nenda kwenye Mipangilio ya Pesa,Shiga saitin kudi,,,
payment_activities.search_placeholder,Search payments here...,Tafuta malipo hapa...,Nemo Biya anan,,,
payment_activities.received,Received,Imepokelewa,Karba,,,
payment_activities.withdrawn,Withdrawn,Imeondolewa,Cirewa,,,
payment_activities.wallet_balance,Your wallet balance,Usawa wako wa mkoba,Balans din wallet dinka,,,
payment_activities.merchant_id,{{merchant_id}} - merchant Id,{{merchant_id}} - mfanyabiashara Id,{{merchant_id}} - merchant Id,,,
payment_activities.tap_to_copy,Tap to copy,Gonga ili unakili,Danna domin kofa,,,
payment_activities.deposit,Deposit,Amana,Ajiyewa,,,
payment_activities.withdraw,Withdraw,Kutoa,Cirewa,,,
payment_activities.drawdown,Drawdown,Kuchora,Drawdown,,,
payment_activities.payment_activities,Payment Activities,Shughuli za Malipo,Hada ta Tsarin biya,,,
payment_activities.no_money_activities,You have no Money activities yet,Bado huna shughuli za Pesa,Haryanzu ba hada hadar kudi,,,
payment_activities.your_wallet_balance,Your wallet balance,Usawa wako wa mkoba,Balans din wallet,,,
payment_activities.your_merchant_id_is,Your Merchant ID is,Kitambulisho chako cha Muuzaji ni,Marchant ID dinku,,,
payment_activities.your_wallet_account_no_is.one,Your wallet account number is,Nambari yako ya akaunti ya mkoba ni,lambar Akawun na wallet,,,
payment_activities.your_wallet_account_no_is.other,Your wallet account numbers are,Nambari za akaunti yako ya mkoba ni,lambar Akawun na wallet,,,
payment_activities.tap_to_copy_merchant_id,Tap to copy Merchant ID,Gonga ili unakili Kitambulisho cha Wauzaji,Danna domin kofar Marchan ID,,,
payment_activities.tap_to_copy_wallet_account_no,Tap to copy wallet account number,Gonga ili kunakili nambari ya akaunti ya mkoba,danna domin kofar lambar Akawun na wallet,,,
payment_activities.withdraw_fields.amount.label,Enter Amount,Ingiza Kiasi,Sanya farashi,,,
payment_activities.withdraw_fields.note.label,Write a note,Andika dokezo,Rubuta sako,,,
payment_activities.deposit_help_text,See below the various ways to deposit funds into your wallet,Tazama hapa chini njia anuwai za kuweka pesa kwenye mkoba wako,Duba a kasa hanyoyin da za a iya sanya kudi cikin wallet,,,
payment_activities.select_withdrawal_account,Select withdrawal account,Chagua akaunti ya kujiondoa,Zabi akawun na cirar kudi,,,
payment_activities.confirm_withdrawal,Confirm withdrawal,Thibitisha uondoaji,Tabbatar da cirar kudi,,,
payment_activities.about_to_withdraw,You are about to withdraw **{{amount}}** to\n**{{bank_details}}**,Uko karibu kutoa **{{amount}}** kwa\n**{{bank_details}}**,Kuna shirin cirar **{{amount}}** zuwa\n**{{bank_details}}**,,,
payment_activities.withdraw_success,Your transaction is being processed. It may take up to a few minutes to reflect in your Shara wallet,Shughuli yako inashughulikiwa. Inaweza kuchukua hadi dakika chache kutafakari kwenye mkoba wako wa Shara,Ana aiwatar da ma'amalar ku Yana iya ɗaukar toan mintuna kaɗan don yin tunani a cikin walat ɗin ku na Shara,,,
payment_activities.payment_activity.received_payment,Received payment of **{{amount}}** via **{{provider}}**,Imepokelewa malipo ya **{{amount}}** kupitia **{{provider}}**,Na karbi biyan **{{amount}}**  ta **{{provider}}**,,,
payment_activities.payment_activity.withdrawal,Withdrawal of **{{amount}}** to your **{{provider}}**,Uondoaji ya **{{amount}}** kwa yako **{{provider}}**,Cirar **{{amount}}** Zuwa**{{provider}}**,,,
payment_activities.payment_activity.select_customer,Select Customer,Chagua Mteja,Zabi kwastoma,,,
payment_activities.withdraw_excess_error,Withdrawal amount is greater than your wallet balance,Uondoaji kiasi ni kubwa zaidi kuliko yako mkoba usawa,Farashin da ake son cira Yawucan yawan balans din walet,,,
payment_activities.withdraw_amount_required_error,Amount is required,Kiasi kinahitajika,Ana buƙatar adadin,,,
payment_activities.withdraw_minimum_error,Withdrawal amount must be greater than {{amount}},Kiasi cha uondoaji lazima kiwe kikubwa kuliko {{kiasi}},Adadin janyewa dole ne ya fi {{adadin}},,,
payment_activities.not_available.title,Not available in your country,Haipatikani katika nchi yako,Babushi a kasar ku,,,
